Gender,Class,Hours,Work,Loans,CC Debt
Female,3,16,13,0,4094
Male,2,14,0,6654,3508
Female,4,12,20,15441,2783
Female,4,12,0,0,0
Female,1,17,0,0,1418
Female,1,17,0,3531,1201
Female,2,15,0,0,2667
Male,3,9,25,0,0
Female,3,15,0,0,4543
Female,2,9,31.5,0,1966
Female,4,17,0,17608,6983
Female,1,15,0,0,1215
Female,3,11,22,11096,2821
Female,4,5,32.5,15233,4462
Female,2,16,0,0,2667
Female,2,14,19.5,8514,2304
Male,2,8,29,9540,3350
Female,2,15,13.5,8215,2293
Female,4,11,20.5,15270,0
Female,3,17,12,12626,4105
Female,4,17,0,0,5236
Male,1,16,0,0,1695
Female,4,7,31.5,15761,3450
Female,2,13,0,0,1684
Female,2,9,23.5,7846,2320
Female,2,13,0,0,1617
Male,2,9,28.5,8429,0
Male,3,12,18.5,10815,4340
Female,2,12,18.5,8827,2177
Male,3,18,11,10377,3350
Male,2,14,0,5752,3419
Male,1,12,21.5,5055,1434
Male,2,13,0,0,2760
Female,4,17,0,0,0
Female,1,16,0,0,1117
Female,4,16,19,18658,6064
Female,4,15,0,0,5790
Male,2,15,22,8651,2912
Male,4,12,0,0,7269
Male,4,7,25,0,5111
Female,2,14,20.5,8687,2315
Male,3,12,20,12395,3478
Female,3,17,0,0,2099
Female,3,14,17,12704,4590
Female,4,14,0,0,6269
Female,3,16,19,12224,8030
Female,1,18,0,0,1431
Female,1,18,0,0,1297
Female,4,8,23.5,0,2589
Female,4,18,0,16080,8086
Male,1,17,8,4481,1199
Male,1,15,0,0,1378
Male,2,15,0,0,2690
Male,4,9,21,0,10556
Male,4,15,0,0,5316
Female,1,9,21.5,0,1035
Male,4,3,38.5,0,4110
Female,2,14,0,6423,1962
Male,3,9,29.5,12701,4180
Male,1,10,22.5,2500,1613
